,Question,A,B,C,D,Answer,Subject,
22,"Šis jautājums attiecas uz šādu informāciju.
1. avots:
""Kāpēc tieša rīcība? Kāpēc sēdošās demonstrācijas, gājieni un tā tālāk? Vai sarunas nav labāks ceļš?"" Jums ir taisnība, aicinot uz sarunām. Patiesi, tieši tas ir tiešās rīcības mērķis. Nevardarbīgas tiešas rīcības mērķis ir radīt tādu krīzi un veicināt tādu spriedzi, lai kopiena, kas pastāvīgi atsakās no sarunām, būtu spiesta stāties pretī šim jautājumam. Tā cenšas dramatizēt problēmu tā, lai to vairs nevarētu ignorēt. Mana atsauce uz spriedzes radīšanu kā daļu no nevardarbīga pretošanās darba var izklausīties diezgan šokējoša. Bet man jāatzīst, ka es nebaidos no vārda ""spriedze"" Es esmu dedzīgi iestājies pret vardarbīgu spriedzi, taču ir arī tāda veida konstruktīva, nevardarbīga spriedze, kas ir nepieciešama izaugsmei. Tāpat kā Sokrats uzskatīja, ka ir nepieciešams radīt spriedzi prātā, lai indivīdi varētu pacelties no mītu un puspatiesību verdzības uz neierobežotu radošas analīzes un objektīva vērtējuma valstību, tāpat arī mums ir jāsaskata nepieciešamība pēc nevardarbīgiem gājieniem, lai radītu sabiedrībā tādu spriedzi, kas palīdzēs cilvēkiem pacelties no aizspriedumu un rasisma tumšajiem dzīlēm uz izpratnes un brālības majestātiskajiem augstumiem.""
Mārtins Luters Kings jaunākais, ""Vēstule no Birmingemas cietuma"", 1966. g
Avots 2:
""Mēs, vīrieši un sievietes, kas ar šo nodibinām sevi par Nacionālo sieviešu organizāciju, uzskatām, ka ir pienācis laiks jaunai kustībai uz patiesu visu sieviešu līdztiesību Amerikā un uz pilnīgi vienlīdzīgu dzimumu partnerību kā daļu no pasaules mēroga cilvēktiesību revolūcijas, kas pašlaik notiek mūsu valsts robežās un ārpus tām.
NOW mērķis ir rīkoties, lai sievietes jau tagad varētu pilnvērtīgi piedalīties Amerikas sabiedrības dzīvē, izmantojot visas tās privilēģijas un pienākumus patiesi vienlīdzīgā partnerībā ar vīriešiem.
Mēs uzskatām, ka ir pienācis laiks pārkāpt pāri abstraktajiem strīdiem, diskusijām un simpozijiem par sieviešu statusu un īpašo būtību, kas pēdējos gados ir plosījušies Amerikā; ir pienācis laiks ar konkrētu rīcību stāties pretī apstākļiem, kas šobrīd neļauj sievietēm baudīt iespēju vienlīdzību un brīvību, uz ko viņām kā atsevišķām amerikānietēm un cilvēciskām būtnēm ir tiesības.""
Nacionālā sieviešu organizācija, Mērķa deklarācija, 1966. gads
Avots 3:
""Geju atbrīvošanas ilgtermiņa mērķis, kas neizbēgami noved mūs konfliktā ar šīs sabiedrības institucionalizēto seksismu, ir atbrīvot sabiedrību no dzimumu lomu sistēmas, kas ir mūsu apspiešanas pamatā. To var panākt tikai tad, ja tiek likvidēts sociālais spiediens uz vīriešiem un sievietēm, lai tie atbilstu šauri definētām dzimumu lomām. Ir īpaši svarīgi, lai bērni un jaunieši tiktu iedrošināti attīstīt savus talantus un intereses un izpaust savu individualitāti, nevis pildīt stereotipiskas, viņu dabai svešas lomas.
Tā kā mēs nevaram veikt šīs revolucionārās pārmaiņas vieni paši un tā kā dzimumu lomu atcelšana ir arī nepieciešams sieviešu atbrīvošanas nosacījums, mēs strādāsim, lai izveidotu stratēģisku aliansi ar sieviešu atbrīvošanas kustību, cenšoties attīstīt mūsu idejas un praksi ciešā savstarpējā saistībā. Lai izveidotu šo aliansi, brāļiem, kas darbojas geju atbrīvošanas kustībā, būs jābūt gataviem upurēt to vīriešu šovinisma un vīriešu privilēģiju pakāpi, kas viņiem visiem vēl joprojām piemīt.""
Geju atbrīvošanas fronte, Manifests, 1971. g
Kuru no turpmāk minētajām taktikām 1. avota autors atbalsta kā līdzekli savu mērķu sasniegšanai?",Valdības vardarbīga gāšana,Nevardarbīga pretošanās,Piekāpšanās,Juridiskas darbības,B,high_school_world_history,22high_school_world_history
343,"38 gadus vecs cilvēks baidās braukt ar sabiedrisko transportu. Ārstēšanas programmu, kas balstās uz pakāpenisku saskarsmi ar braukšanu ar autobusu, izmēģinājumos palielinot reālās uzvedības aktivitātes, sauc par",plūdi,modelēšana,pastiprināta prakse,implozija,C,professional_psychology,343professional_psychology
38,"Kas ir VIII gs. m.ē. dzejniece, kuru pielūdza daudzos Višnu veltītos Dienvidindijas tempļos?",Andal,Devi,Ganga,Kali,A,world_religions,38world_religions
0,"10 N spēkam, kas atrodas 45° leņķī virs horizontāles, horizontālā komponente ir aptuveni",7 N,5 N,10 N,12 N,A,conceptual_physics,0conceptual_physics
192,Pakalpojumus raksturo piecas atšķirīgas iezīmes. Tās ir:,"Neaptveramība, vērtība, mainīgums, neatdalāmība un īpašumtiesību trūkums.","Neaptveramība, vērtība, mainīgums, neatdalāmība un rentabilitāte.","Neaptveramība, ātrbojība, mainīgums, neatdalāmība un īpašumtiesību trūkums.","Neaptveramība, vērtība, mainīgums, neatdalāmība un attiecības.",C,marketing,192marketing
35,"Atrodiet pakāpi dotajam lauka paplašinājumam Q(sqrt(2), sqrt(3)) virs Q.",0,4,2,6,B,abstract_algebra,35abstract_algebra
439,"Liels, privātīpašumā esošs un pārvaldīts iepirkšanās centrs ir atvērts sabiedrībai, un tajā ir nelieli veikaliņi, lieli universālveikali un restorāni, kas izvietoti ap gājēju zonu. Tajā ir arī vairāki kinoteātri, slidotava, neliels atrakciju parks un vietējās publiskās bibliotēkas filiāle. Tirdzniecības centrs tiek reklamēts kā ""mazpilsēta ar lielpilsētas sajūtu"" Iepirkšanās laikā 10 protestētāju grupa pulcējās gājēju zonā pie ieejas universālveikalā, lai nosodītu dzīvnieku kažokādu izstrādājumu pārdošanu šajā veikalā. Protestētāji bija miermīlīgi un netraucēja satiksmei uz veikalu vai no tā, taču viņi nesa plakātus un skaļi pauda savu vēstījumu cilvēkiem, kas gāja pa šo teritoriju. Tirdzniecības centra vadība ātri pārtrauca protestu un pieprasīja protestētājiem pamest tirdzniecības centru. Protestētāji iesūdzēja tirdzniecības centru tiesā, apgalvojot, ka ir pārkāptas viņu tiesības uz vārda brīvību, ko garantē Pirmais un Četrpadsmitais grozījums. Vai protestētājiem būtu jāuzvar?","Nē, jo tirdzniecības centrs ir privātīpašums, un tajā nenotika valsts rīcība, uz kuru attiektos Pirmā un Četrpadsmitā grozījuma vārda brīvības garantijas.","Nē, jo aizliegums rīkot protestus pie universālveikala ieejas iepirkšanās laikā ir konstitucionāli atbilstošs vārda laika, vietas un veida ierobežojums.","Jā, jo tirdzniecības centrs funkcionāli ir līdzvērtīgs pilsētai, un tāpēc uz tā darbībām attiecas Konstitūcijā noteiktās vārda un pulcēšanās brīvības garantijas.","Jā, jo tirdzniecības centra noteiktais protestētāju runas ierobežojums bija plašāks, nekā nepieciešams, lai nodrošinātu pienācīgu piekļuvi universālveikalam.",A,professional_law,439professional_law
131,Kura no turpmāk minētajām oksoskābēm ir visspēcīgākā skābe?,HBrO,HClO,HIO,HClO3,D,high_school_chemistry,131high_school_chemistry
119,"Kļūda, kas saistīta ar argumentāciju, kurā vispirms tiek noteikts vēlamais secinājums, pēc tam tiek pieņemti tikai pierādījumi, kas apstiprina šo secinājumu, vai visi pierādījumi tiek interpretēti kā šā secinājuma apstiprinājums, ir pazīstama kā",ad ignorantium,a priori,plurium interrogationum,Extension,B,logical_fallacies,119logical_fallacies
179,"Šis jautājums attiecas uz šādu informāciju.
""Tautas sirdsapziņa nopietnu valsts problēmu laikā ir aicinājusi izveidot jaunu partiju, kas dzimusi no tautas taisnīguma izjūtas. Mēs, Progresīvās partijas biedri, šeit veltām sevi tā pienākuma izpildei, ko mums uzdeva mūsu tēvi, lai saglabātu tautas valdību, ko veidoja tauta, kas veidota tautai un tautai, kuras pamatus viņi lika. Mēs kopā ar Tomasu Džefersonu un Abrahamu Linkolnu uzskatām, ka tauta ir savas konstitūcijas saimnieki, lai īstenotu tās mērķus un pasargātu to no tiem, kas, sagrozot tās nolūku, vēlas pārvērst to par netaisnības instrumentu. Atbilstoši katras paaudzes vajadzībām tautai ir jāizmanto savas suverēnās pilnvaras, lai izveidotu un uzturētu vienlīdzīgas iespējas un rūpniecisko taisnīgumu, kuru nodrošināšanai šī valdība tika dibināta un bez kuriem nevar pastāvēt neviena republika.
""Šī valsts pieder cilvēkiem, kas tajā dzīvo. Tās resursi, uzņēmējdarbība, iestādes un likumi ir jāizmanto, jāuztur vai jāmaina tādā veidā, kas vislabāk sekmē vispārējās intereses. Ir pienācis laiks pirmajā vietā izvirzīt sabiedrības labklājību.""
Progresīvās partijas platforma, 1912. gads
Progresīvistu Teodora Rūzvelta ""Lielās nūjas"" politiku Latīņamerikā vislabāk raksturo viņa",atteikšanās no Monro doktrīnas,"pārliecība, ka Eiropas valstīm ir tiesības aizsargāt savas ekonomiskās intereses visās atlikušajās kolonijās visā reģionā",jauno neatkarīgo Rietumu puslodes valstu suverenitātes atzīšana,"pārliecība, ka Amerikas Savienoto Valstu pienākums ir aizsargāt drošību un stabilitāti, uzņemoties aizsargājošu lomu visā Rietumu puslodē",D,high_school_us_history,179high_school_us_history
90,"Rahela domas eksperimentā ar Smitu un Džounsu Džounsa rīcība (t. i., viņa skatīšanās, kā bērns, kurš nejauši paslīdēja, noslīka vannā) ir uzskatāma par piemēru",nonāvēšanai.,ļaujot nomirt.,pašnāvības atbalstam.,neviens no iepriekš minētajiem,B,moral_disputes,90moral_disputes
158,"Kolekcionārs regulāri pirka un pārdeva monētas. Kādu dienu viņa ieraudzīja sludinājumu monētu kolekcionāru žurnālā, kurā bija izsludināta retas 1898. gada monētas pārdošana par 10 000 ASV dolāru. Viņa nekavējoties sazinājās ar pārdevēju un jautāja par monētas kvalitāti. Pārdevējs viņai apliecināja, ka monēta ir monētu kaltuves stāvoklī. Kolekcionāre piekrita iegādāties monētu par 10 000 ASV dolāru. Līgumā bija noteikts, ka piegāde notiks ""F. O. B. kolekcionāra uzņēmumā"", bet samaksa tiks veikta nedēļu pēc piegādes. Pārdevējs paziņoja, ka monēta tiks nosūtīta nedēļas beigās. Kad kolekcionāre monētu saņēma, viņa pamanīja, ka monētai ir liels skrāpējums uz monētas virsmas. Tomēr kolekcionāre pieņēma piegādi. Pēc divām nedēļām kolekcionāre monētu pārdeva citam kolekcionāram par 12 000 ASV dolāru. Kolekcionārs atteicās maksāt pārdevējam. Pārdevējs iesniedza prasību par līguma laušanu pret kolekcionāru, kurš savukārt iesniedza pretprasību pret pārdevēju. Kurš visticamāk uzvarēs un kādā apmērā?","Kolekcionāram ir tiesības uz nominālu zaudējumu atlīdzību, jo monēta tika saņemta bojātā stāvoklī.","Nevienai no pusēm nevajadzētu uzvarēt, jo zaudējumu risks bija pārdevējam, bet kolekcionāram neradās zaudējumi, jo viņa monētu pārdeva ar peļņu.","Pārdevējam ir tiesības uz 10 000 ASV dolāru, jo kolekcionārs pieņēma monētas piegādi.","Pārdevējam ir tiesības uz 12 000 ASV dolāru, jo kolekcionāra tālākpārdošana bija pārveidošana.",C,professional_law,158professional_law
128,"Kurš no turpmāk minētajiem komunikācijas modeļiem attēlo informācijas plūsmu pa dažādiem mediju kanāliem pie noteikta veida cilvēkiem, pie kuriem citi auditorijas locekļi vēršas pēc informācijas un norādījumiem?",Divpakāpju.,Trīspakāpju.,Daudzpakāpju.,Vienpakāpju.,A,marketing,128marketing
172,"Šis jautājums attiecas uz šādu informāciju.
Jautājumi uz tālāk sniegto fragmentu, kas ir arābu vergu tirdzniecības karavānas dalībnieka stāstījums franču virsniekam Alžīrijā 1830. gados.
Vergu tirdzniecība
Jūs visi [karavīri] esat aicināti... medīt elku kalpus - koholānus [nomelnojošs apzīmējums ""melnādainajiem afrikāņiem""]. . . . Kareivji sadalījās divās rotaļās ... ar pavēli uzbrukt vietām bez aizsardzības un aizvest iedzīvotājus, kā arī sagūstīt visus zemniekus, kas nodarbojas ar lauku apstrādi. . . . Kamēr gaidījām, kad atgriezīsies nēģeru medībām nosūtītās kompānijas, mēs katru dienu devāmies uz vergu tirgu, kur pirkām par šādām cenām:
Nēģeris ar bārdu..................10 vai 15 000 govju.
Viņi netiek uzskatīti par preci, jo ir maz izredžu novērst viņu bēgšanu.
Pieaugušu nēģeri....................10 vai 15 000 kovriju to pašu iemeslu dēļ
Pusaudzis nēģeris......................30,000 cowries
Jauna melnādaina sieviete ........................50-60 000 kovrīsu
Cena atšķiras atkarībā no tā, vai viņa ir vairāk vai mazāk skaista.
Vīriešu dzimuma melnādainais bērns..........................45,000 kovrīzes
Nēģeru meitene ............................35-40 000 kovrīzu
Visbeidzot, mūsu karavāna, kas bija devusies ceļā no Alžīrijas ar sešdesmit četriem kamieļiem un tikai sešpadsmit cilvēkiem, tagad bija papildināta ar četriem simtiem vergu, no kuriem trīs simti bija sievietes. . . . Šajā brīdī pēkšņi no vienas vergu grupas uz otru atskanēja neskaidrs kliedzienu un raudu troksnis, kas sasniedza arī mūsējos. . . . ...] Daži krita uz zemes, pieķērās krūmiem un pilnīgi atteicās iet. . . . Viņus varēja dabūt piecelties tikai ar spēcīgiem pātagas sitieniem, padarot tos pilnīgi asiņainus.
Ar ko arābu tirdzniecība ar afrikāņiem atšķīrās no Atlantijas vergu tirdzniecības?",Atšķirībā no arābu vergu tirgotājiem Atlantijas vergu tirdzniecībā iesaistītie bija reliģiski motivēti.,"Vergiem, kas tika ņemti Atlantijas vergu tirdzniecībai, nebija nekādu izredžu uz brīvību, bet vergiem, kurus ņēma arābu tirgotāji, bija izredzes uz brīvību.","Vergi, kas tika ievesti Atlantijas okeāna vergu tirdzniecībai, pārsvarā bija sievietes; vergi, ko ieveda arābu tirgotāji, pārsvarā bija vīrieši.","Vergiem, ko ieveda arābu tirgotāji, bija īsāks mūžs nekā vergiem, kas tika ievesti Atlantijas okeāna vergu tirdzniecībai.",B,high_school_world_history,172high_school_world_history
831,"Kādas svētdienas pēcpusdienā kāds sporta fans devās uz profesionālu futbola spēli. Stāvot rindā pie koncesiju stenda, viņš sastrīdējās ar trim vīriešiem, kas bija rindā pirms viņa. Šie trīs vīrieši bija draugi, kas spēli apmeklēja kopā. Viens no vīriešiem iesita sporta faniem pa muti. Izcēlās kautiņš. Cīņas laikā viens no pārējiem trim vīriešiem ar pudeli trāpīja sporta līdzjutējam pa galvu, kā rezultātā viņš guva smagu smadzeņu satricinājumu. Sporta līdzjutējs precīzi nezina, kurš no trim vīriešiem viņam iesita ar pudeli. Ja sporta līdzjutējs cels prasību pret vīrieti, kurš viņam iesita pa muti, lai piedzītu zaudējumu atlīdzību par galvas traumu, vai sporta līdzjutējs uzvarēs?","Jā, jo vīrietis, kurš viņam iesita pa muti, bija iniciators, kurš pirmais sita triecienu, kas izraisīja kautiņu.","Jā, jo vīrietis, kurš viņam iesita pa muti, un pārējie vīrieši rīkojās saskaņoti.","Nē, jo vīrietis, kurš viņam iesita pa muti, patiesībā ar pudeli sporta līdzjutējam netrieca.","Nē, jo sporta līdzjutējs nevar sniegt pierādījumus par to, kurš no vīriešiem iesita sporta līdzjutējam pa galvu ar pudeli.",B,professional_law,831professional_law
13,Glikogēna sadalīšanās rezultātā muskuļos sākotnēji veidojas:,glikoze.,glikozes-1-fosfāts.,glikozes-6-fosfāts.,"glikozes-1,6-difosfāts.",B,clinical_knowledge,13clinical_knowledge
105,Saskaņā ar kognitīvās teorijas teorētiķi Žanu Piažē bērni kurā no turpmāk minētajām kognitīvās attīstības stadijām ir egocentriski jeb nespēj saprast citas personas perspektīvu?,Sensorimotorā,Pirmsoperācijas,Konkrēti operacionālā,Formālā operacionālā,B,high_school_psychology,105high_school_psychology
25,Jang-šau kultūra piekāpās Lung-šan kultūrai kaut kad pēc:,6 000 p.m.ē.,5 000 p.m.ē.,4 000 p.m.ē.,3 000 p.m.ē.,B,prehistory,25prehistory
325,"Pieņemsim, ka reālā procentu likme valstī pieaug. Kā varētu mainīties šīs valsts valūtas pieprasījums un līdz ar to tās valūtas vērtība un neto eksporta vērtība? Valūtas pieprasījums Valūtas vērtība Valūtas neto eksports",Samazinās Appreciate Samazinās,Samazinās Depreciate Samazinās,Samazinās Depreciate Palielinās,Palielinās Appreciate Palielinās Palielinās,D,high_school_macroeconomics,325high_school_macroeconomics
136,"Dekarts paziņo, ka viņš ir _____.",ķermenis,sapnis,"lieta, kas domā","lieta, kas nevar pastāvēt",C,philosophy,136philosophy
175,Kurš no turpmāk minētajiem darījumiem pareizi ilustrē būtiskas izpildes doktrīnu?,"Blair pasūtīja Kyle duci zilu krēslu, bet Kyle piegādāja duci sarkanu krēslu.","Leslie nokrāsoja visu istabu, bet nenovilka atpakaļ elektrības kontaktligzdu vākus.","Līgumā bija prasīts, lai frizūra tiktu veikta Toby apmierinoši, bet Toby labticīgi bija neapmierināts ar paveikto.","Zobārsts kompetenti pabeidza Lee zoba ekstrakciju, bet kļūdaini izvilka nepareizu zobu.",B,professional_accounting,175professional_accounting
22,"Lai R ir gredzens ar multiplikatīvo identitāti. Ja U ir tāda R aditīvā apakšgrupa, ka ur in U visiem u U un visiem r R, tad U ir R labais ideāls. Ja R ir tieši divi labi ideāli, tad kam no šiem apgalvojumiem ir jābūt patiesam?
I. R ir komutatīvs.
II. R ir dalīšanas gredzens (tas ir, visiem elementiem, izņemot aditīvo identitāti, ir multiplikatīvie inversi).
III. R ir bezgalīgs.",I tikai,II tikai,III tikai,I un II tikai,B,college_mathematics,22college_mathematics
49,"Šis jautājums attiecas uz šādu informāciju.
Ārvalstu stāvoklis vairs nav tāds, kāds tas bija agrāk; tās ir izgudrojušas tvaikokuģus un ieviesušas radikālas izmaiņas kuģošanas mākslā. Tās ir arī izveidojušas savas armijas, kas ir ļoti efektīvas, un to rīcībā ir ļoti spēcīgi un precīzi kara rīki, īsi sakot, tām ir atļauja kļūt par briesmīgām lielvarām. Tāpēc, ja mēs neatlaidīgi turēsimies pie savām novecojušajām sistēmām, vien Dievs zina, kāda varena nelaime var piemeklēt mūsu impēriju.
-Pārņemts no lorda Ii vēstules lordam Tokugavas kungam, 1847. gads
Kā Japāna reaģēja uz lorda Ii paustajām bažām šajā laikmetā?",Valdība likvidēja Ķīnas stila civildienesta sistēmu.,Valdība uzsāka iekarošanas programmu Klusajā okeānā.,Valsts sūtīja emisārus pētīt rietumu demokrātijas un rūpniecību.,Valsts pievērsās sev un slēdza savas ostas visiem ārzemniekiem.,C,high_school_world_history,49high_school_world_history
